Peptic ulceration
=================
76125	Cautery resect gastric ulcer
J131y	Chronic PU unspecified
J131y00	Chronic PU unspecified
J131z	Chronic peptic ulcer NOS
J131z00	Chronic peptic ulcer NOS
J13y.	Unspecified peptic ulcer
J13y0	Unspec. PU + no complication
J13y1	Unspec. PU + haemorrhage
J13y2	Unspec. PU + perforation
J13y3	Unspec. PU + h'ge + perforat.
J13y4	Unspec. PU + obstruction
J13yy	Unspec.PU; unspec.h'ge/perf.
J13yz	Unspecified peptic ulcer NOS
J13z.	Peptic ulcer NOS
J14..	Gastrojejunal ulcer (GJU)
J140.	Acute gastrojejunal ulcer
J1400	Acute GJU + no complication
J1401	Acute GJU + haemorrhage
J1402	Acute GJU + perforation
J1403	Acute GJU + h'ge + perforation
J1404	Acute GJU + obstruction
J140y	Acute GJU unspecified
J140z	Acute gastrojejunal ulcer NOS
J141.	Chronic gastrojejunal ulcer
J1410	Chronic GJU + no complication
J1411	Chronic GJU + haemorrhage
J1412	Chronic GJU + perforation
J1413	Chronic GJU + h'ge + perforat.
J1414	Chronic GJU + obstruction
J141y	Chronic GJU unspecified
J141z	Chronic gastrojejun. ulcer NOS
J14y.	Unspecif. gastrojejunal ulcer
J14y0	Unspec. GJU + no complication
J14y1	Unspec. GJU + haemorrhage
J14y2	Unspec. GJU + perforation
J14y3	Unspec. GJU + h'ge + perforat.
J14y4	Unspec. GJU + obstruction
J14yy	Unspec.GJU; unspec.h'ge/perf.
J14yz	Unspec.gastrojejunal ulcer NOS
J14z.	Gastrojejunal ulcer NOS
J1733	Duodenal scar
J173300	Duodenal scar
J17y7	Deformed duodenal cap (bulb)
J17y700	Deformed duodenal cap (bulb)
J17y8	Healed gastric ulcer - scar
J17y800	Healed gastric ulcer - scar
ZV127	[V]PH - Digestive system dis.
ZV12711	[V]PH - Digestive system dis.
ZV12712	[V]PH - Digestive system dis.
ZV12C	[V]PH of gastric ulcer
ZV12C00	[V]PH of gastric ulcer

Gastro-intestinal bleeds
========================
J68..	Gastrointestinal haemorrhage
J680.	Haematemesis
J681.	Melaena
J68z.	GIB - Gastrointestinal bleeding
J68z000	Gastric haemorrhage NOS
J68z1	Intestinal haemorrhage NOS
J68z100	Intestinal haemorrhage NOS
J68z2	Upper gastrointestinal haemorrhage
J68z200	Upper gastrointestinal haemorrhage
J68zz	Gastrointestinal tract haemorrhage NOS
J68zz00	Gastrointestinal tract haemorrhage NOS

NSAIDs
======
ACCA10950BRIDL	Acemetacin  Capsules  60 mg
ACTA28341EMIS	Aceclofenac  Tablets  100 mg
ADTA16108NEMIS	Advil  Tablets  200 mg
AICA55	Alrheumat  Capsules  50 mg
ANCA16110NEMIS	Anadin Ultra  Capsules  200 mg
APEF9146HILLI	Apsifen F  Effervescent tablet
APTA194	Apsifen  Tablets  200 mg
APTA195	Apsifen  Tablets  400 mg
ARCA211	Artracin  Capsules  25 mg
ARE/11592NEMIS	Arthrosin  E/c tablets  250 mg
ARE/11593NEMIS	Arthrosin  E/c tablets  500 mg
ARM/26311EMIS	Artracin Sr  M/R capsules  75 
ARTA12804NEMIS	Arcoxia  Tablets  60 mg
ARTA12806NEMIS	Arcoxia  Tablets  90 mg
ARTA12807NEMIS	Arcoxia  Tablets  120 mg
ARTA22354EMIS	Arthrotec 50  Tablets  
ARTA28967NEMIS	Arcoxia  Tablets  30 mg
ARTA29148EMIS	Arthrotec 75  Tablets  
ARTA4234NEMIS	Arthroxen  Tablets  250 mg
ARTA4235NEMIS	Arthroxen  Tablets  500 mg
ARTA9211BRIDL	Arthrofen  Tablets  200 mg
ARTA9213BRIDL	Arthrofen  Tablets  400 mg
ARTA9215BRIDL	Arthrofen  Tablets  600 mg
ARTA9217BRIDL	Arthrosin  Tablets  250 mg
ARTA9219BRIDL	Arthrosin  Tablets  500 mg
AXM/39415NEMIS	Axorid  M/R capsules  100 mg +
AXM39414NEMIS	Axorid  M/R capsules  200 mg +
AZCA4616	Azapropazone  Capsules  300 mg
AZTA4617	Azapropazone  Tablets  600 mg
BEM/13816NEMIS	Berlind 75 Retard  M/R capsule
BEOR17556NEMIS	Benorilate  Oral Suspension Su
BESA305	Benoral  Sachets  2 g/ sachet
BESA309	Benorylate  Sachets  2 g
BESU306	Benoral  Suspension  2 g/5 ml
BESU310	Benorylate  Suspension  2 g/5 
BETA15395NEMIS	Bextra  Tablet  10 mg
BETA15396NEMIS	Bextra  Tablet  20 mg
BETA15397NEMIS	Bextra  Tablet  40 mg
BETA17557NEMIS	Benorilate  Tablets  750 mg
BETA308	Benoral  Tablets  750 mg
BETA313	Benorylate  Tablets  750 mg
BRGR19659EMIS	Brufen  Granules  600 mg/sache
BRM/18880EMIS	Brufen Retard  M/R tablets  80
BRSY426	Brufen  Syrup  100 mg/5 ml
BRTA34387EMIS	Brexidol  Tablets  20 mg
BRTA427	Brufen  Tablets  200 mg
BRTA428	Brufen  Tablets  400 mg
BRTA429	Brufen  Tablets  600 mg
BUTA445	Butacote  Tablets  100 mg
BUTA446	Butacote  Tablets  200 mg
BUTA447	Butazolidin  Tablets  100 mg
BUTA448	Butazolidin  Tablets  200 mg
CASU14764NEMIS	Calprofen  Sugar free suspensi
CECA4198NEMIS	Celecoxib  Capsules  100 mg
CECA4200NEMIS	Celecoxib  Capsules  200 mg
CECA4202NEMIS	Celebrex  Capsules  100 mg
CECA4203NEMIS	Celebrex  Capsules  200 mg
CECA43610NEMIS	Celecoxib  Capsules  400 mg
CLTA639	Clinoril  Tablets  100 mg
CLTA640	Clinoril  Tablets  200 mg
COCA24278EMIS	Contraflam  Capsules  250 mg
COM/19840EMIS	Codafen Continus  M/R tablets 
COTA27588EMIS	Contraflam  Tablets  500 mg
COTA34395EMIS	Condrotec  Tablets  
CUTA17490NEMIS	Cuprofen Plus  Tablets  
CUTA29067NEMIS	Cuprofen  Tablets  200 mg
DEM/12580NEMIS	Defanac Retard  M/R tablets  1
DEM/6708NEMIS	Defanac Sr  M/R tablets  75 mg
DEM/6709NEMIS	Defanac Sr  M/R tablets  100 m
DETA13566NEMIS	Defanac  Tablets  25 mg
DETA13567NEMIS	Defanac  Tablets  50 mg
DETA20911NEMIS	Dexibuprofen  Tablets  300 mg
DETA20913NEMIS	Dexibuprofen  Tablets  400 mg
DETA50007EMIS	Dexketoprofen Trometamol  Tabl
di5..	*FENOPROFEN [ANALGESIC]
di51.	*PROGESIC 200mg tablets
di5z.	*FENOPROFEN 200mg tablets
di8..	NAPROXEN SODIUM
di81.	*SYNFLEX 275mg tablets
di8z.	*NAPROXEN SODIUM 275mg tablets
diaW.	ANADIN ULTRA 200mg capsules
dibC.	SUDAFED DUAL RELIEF MAX tabs
dic6.	IBUPROF+PSEUDOEPH 200/30mg tab
dic7.	NUROFEN COLD & FLU tablets
dic8.	NUROFEN SINUS tablets
dicB.	LEMSIP FLU 12HR capsules
dicP.	LEMSIP COLD&FLU SNUS 12HR caps
dicw.	IBUPROFN+PARACET 200/500mg tab
DIDI9410HILLI	Diclofenac Sodium  Dispersible
DIE/1994NEMIS	Diclofenac Sodium  E/c tablets
DIE/1995NEMIS	Diclofenac Sodium  E/c tablets
DIE/26685EMIS	Diclofenac Sodium  E/C, M/R ca
DIE/4229NEMIS	Diclovol  E/c tablets  50 mg
DIM/1763NEMIS	Diclovol Sr  M/R tablets  75 m
DIM/1764NEMIS	Diclovol Retard  M/R tablets  
DIM/19795EMIS	Diclofenac Sodium  M/R tablets
DIM/22313EMIS	Diclomax Retard  M/R capsules 
DIM/24452EMIS	Diclofenac Sodium  M/R capsule
DIM/26681EMIS	Diclomax Sr  M/R capsules  75 
DIM/26683EMIS	Diclofenac Sodium  M/R capsule
DIM/26776EMIS	Dicloflex  M/R tablets  100 mg
DIM/35443EMIS	Dicloflex Sr  M/R tablets  75 
DIM/4217NEMIS	Digenac Xl 100  M/R tablets  1
DITA10235BRIDL	Diclofenac Retard  Tablets  10
DITA1024NEMIS	Diclofenac Potassium  Tablets 
DITA1026NEMIS	Diclofenac Potassium  Tablets 
DITA10751BRIDL	Diclozip-25  Tablets  25 mg
DITA10753BRIDL	Diclozip-50  Tablets  50 mg
DITA26777EMIS	Dicloflex  Tablets  25 mg
DITA26778EMIS	Dicloflex  Tablets  50 mg
DITA4228NEMIS	Diclovol  E/c tablets  25 mg
DITA884	Diclofenac Sodium  M/R tablets
DITA885	Diclofenac Sodium  Tablets  25
DITA886	Diclofenac Sodium  Tablets  50
DITA896	Diflunisal  Tablets  250 mg
DITA897	Diflunisal  Tablets  500 mg
DITA978NEMIS	Diclofenac And Misoprostol  Ta
DITA979NEMIS	Diclofenac And Misoprostol  Ta
DOTA962	Dolobid  Tablets  250 mg
DOTA963	Dolobid  Tablets  500 mg
DYCA9233BRIDL	Dysman-250  Capsules  250 mg
DYCA9235BRIDL	Dysman-500  Tablets  500 mg
EBCA6714NEMIS	Ebretin  Capsules  200 mg
EBCA6715NEMIS	Ebretin  Capsules  300 mg
EBTA1019	Ebufac  Tablets  400 mg
ECCA15788NEMIS	Eccoxolac  Capsules  300 mg
ECM/17498NEMIS	Econac Sr  M/R tablets  75 mg
ECM/17500NEMIS	Econac Xl  M/R tablets  100 mg
EMCA10948BRIDL	Emflex  Capsules  60 mg
ETCA10348BRIDL	Etodolac  Capsules  300 mg
ETCA4907	Etodolac  Capsules  200 mg
ETM/23692NEMIS	Etopan Xl  M/R tablets  600 mg
ETM/24010EMIS	Etodolac  M/R tablets  600 mg
ETTA12809NEMIS	Etoricoxib  Tablets  60 mg
ETTA12810NEMIS	Etoricoxib  Tablets  90 mg
ETTA12811NEMIS	Etoricoxib  Tablets  120 mg
ETTA28966NEMIS	Etoricoxib  Tablets  30 mg
ETTA4908	Etodolac  Tablets  200 mg
FECA1148	Feldene  Capsules  10 mg
FECA1149	Feldene  Capsules  20 mg
FECA1154	Fenbid  Capsules  300 mg
FECA1156	Fenbufen  Capsules  300 mg
FEDI1150	Feldene  Dispersible tablets  
FEDI1151	Feldene  Dispersible tablets  
FEEF10340BRIDL	Fenbufen  Effervescent tablets
FEM/13657NEMIS	Fenactol Sr  M/R tablets  75 m
FEM/13659NEMIS	Fenactol Retard  M/R tablets  
FEM/26313EMIS	Fenoket  M/R capsules  200 mg
FESU13344NEMIS	Feverfen  Suspension  100 mg/5
FETA1157	Fenbufen  Tablets  300 mg
FETA1158	Fenoprofen  Tablets  200 mg
FETA1159	Fenoprofen  Tablets  300 mg
FETA1160	Fenoprofen  Tablets  600 mg
FETA1161	Fenopron  Tablets  300 mg
FETA1162	Fenopron  Tablets  600 mg
FETA13653NEMIS	Fenactol  Tablets  25 mg
FETA13655NEMIS	Fenactol  Gastro-resistant Tab
FETA22463EMIS	Feldene Melt  Orodispersible t
FETA4911	Fenbufen  Tablets  450 mg
FLCA10333BRIDL	Flurbiprofen Sr  Capsules  200
FLCA18825EMIS	Fenbuzip 300  Capsules  300 mg
FLCA24289EMIS	Flamatrol  Capsules  10 mg
FLCA24290EMIS	Flamatrol  Capsules  20 mg
FLLO1529NEMIS	Flurbiprofen  Lozenges  8.75 m
FLM/21338NEMIS	Flamatak  M/R tablets  75 mg
FLM/21393NEMIS	Flamatak  M/R tablets  100 mg
FLM/26557EMIS	Flamrase Sr  M/R tablets  100 
FLM/33810EMIS	Flexotard Mr  M/R tablets  100
FLM/35149EMIS	Flamrase Sr  M/R tablets  75 m
FLTA1216	Flurbiprofen  Tablets  100 mg
FLTA1217	Flurbiprofen  Tablets  50 mg
FLTA18826EMIS	Fenbuzip 300  Tablets  300 mg
FLTA18828EMIS	Fenbuzip 450  Tablets  450 mg
FLTA24255EMIS	Flamrase  Tablets  25 mg
FLTA24256EMIS	Flamrase  Tablets  50 mg
FLTA8363EGTON	Flexin Continus  M/R tablets  
FLTA9564EMIS	Flexin-Ls Continus  M/R tablet
FLTA9566EMIS	Flexin-25 Continus  M/R tablet
FRCA8799BRIDL	Froben Sr  Capsules  200 mg
FRTA1245	Froben  Tablets  100 mg
FRTA1246	Froben  Tablets  50 mg
GAOR6426NEMIS	Galprofen  Oral suspension  10
HETA16101NEMIS	Hedex Ibuprofen  Tablets  200 
IBCA1427	Ibuprofen  Capsules  300 mg
IBCA29306NEMIS	Ibuprofen  Capsules  200 mg
IBCR10558BRIDL	Ibuprofen  Cream  5 %
IBDI14330NEMIS	Ibuprofen  Dissolving Tablets 
IBFC10455BRIDL	Ibuprofen  Fc tablets  800 mg
IBGR19661EMIS	Ibuprofen  Granules  600 mg/sa
IBM/18882EMIS	Ibuprofen  M/R tablets  800 mg
IBMO35123EMIS	Ibuprofen  Mousse  5 %
IBOR24735NEMIS	Ibuprofen  Oral Suspension Sug
IBSU13346NEMIS	Ibuprofen  Suspension  100 mg/
IBSU34992EMIS	Ibuprofen  Sugar-free suspensi
IBSU37580MGEMIS	Ibuprofen  Sugar-free suspensi
IBSU37581MGEMIS	Ibuprofen  Sugar-free suspensi
IBSU37582MGEMIS	Ibuprofen  Sugar-free suspensi
IBSU37583MGEMIS	Ibuprofen  Sugar-free suspensi
IBSU37584MGEMIS	Ibuprofen  Sugar-free suspensi
IBSU37585MGEMIS	Ibuprofen  Sugar-free suspensi
IBSU37586MGEMIS	Ibuprofen  Sugar-free suspensi
IBSY1428	Ibuprofen  Syrup  100 mg/5 ml
IBTA1429	Ibuprofen  Tablets  200 mg
IBTA1430	Ibuprofen  Tablets  400 mg
IBTA1431	Ibuprofen  Tablets  600 mg
IBTA19439NEMIS	Ibuprofen M/r And Codeine  Tab
IBTA25101NEMIS	Ibuprofen And Pseudoephedrine 
IBTA31837NEMIS	Ibuprofen Lysine  Tablets  200
IBTA35490MGEMIS	Ibuprofen  Tablets  200 mg (Te
IBTA35491MGEMIS	Ibuprofen  Tablets  200 mg (Ke
IBTA35492MGEMIS	Ibuprofen  Tablets  200 mg (Va
IBTA35493MGEMIS	Ibuprofen  Tablets  200 mg (OB
IBTA35494MGEMIS	Ibuprofen  Tablets  200 mg (Th
IBTA35495MGEMIS	Ibuprofen  Tablets  200 mg (Un
IBTA35496MGEMIS	Ibuprofen  Tablets  200 mg (A.
IBTA35497MGEMIS	Ibuprofen  Tablets  200 mg (Ra
IBTA35498MGEMIS	Ibuprofen  Tablets  200 mg (Iv
IBTA35499MGEMIS	Ibuprofen  Tablets  200 mg (As
IBTA35500MGEMIS	Ibuprofen  Tablets  200 mg (Wi
IBTA35501MGEMIS	Ibuprofen  Tablets  200 mg (Su
IBTA35502MGEMIS	Ibuprofen  Tablets  200 mg (Ll
IBTA35503MGEMIS	Ibuprofen  Tablets  200 mg (Wo
IBTA35504MGEMIS	Ibuprofen  Tablets  400 mg (Te
IBTA35505MGEMIS	Ibuprofen  Tablets  400 mg (Th
IBTA35506MGEMIS	Ibuprofen  Tablets  400 mg (Va
IBTA35507MGEMIS	Ibuprofen  Tablets  400 mg (St
IBTA35508MGEMIS	Ibuprofen  Tablets  400 mg (Ke
IBTA35509MGEMIS	Ibuprofen  Tablets  400 mg (Un
IBTA35510MGEMIS	Ibuprofen  Tablets  400 mg (As
IBTA35511MGEMIS	Ibuprofen  Tablets  400 mg (Ra
IBTA35512MGEMIS	Ibuprofen  Tablets  400 mg (OB
IBTA35513MGEMIS	Ibuprofen  Tablets  400 mg (Sa
IBTA35514MGEMIS	Ibuprofen  Tablets  400 mg (Iv
IBTA35515MGEMIS	Ibuprofen  Tablets  400 mg (A.
IBTA35516MGEMIS	Ibuprofen  Tablets  400 mg (Su
IBTA35517MGEMIS	Ibuprofen  Tablets  400 mg (Ll
IBTA35518MGEMIS	Ibuprofen  Tablets  400 mg (Wo
IBTA35519MGEMIS	Ibuprofen  Tablets  400 mg (Ga
IBTA40030NEMIS	Ibuprofen Lysine  Tablets  684
IBTAEGTON6109	Ibular  Tablets  200 mg
IBTAEGTON6111	Ibumetin  Tablets  200 mg
IBTAEGTON6121	Ibular  Tablets  400 mg
IBTAEGTON6124	Ibumetin  Tablets  400 mg
IBTAEGTON6125	Ibumetin  Tablets  600 mg
IMCA1438	Imbrilon  Capsules  25 mg
IMCA1439	Imbrilon  Capsules  50 mg
INCA10535BRIDL	Indomax-25  Capsules  25 mg
INCA1458	Indocid  Capsules  25 mg
INCA1459	Indocid  Capsules  50 mg
INCA1462	Indocid-R  M/R capsules  75 mg
INCA1463	Indoflex  Capsules  25 mg
INCA1464	Indolar Sr  M/R capsules  75 m
INCA1465	Indomod  M/R capsules  25 mg
INCA1466	Indomod  M/R capsules  75 mg
INCA17688NEMIS	Indometacin  Capsules  25 mg
INCA17689NEMIS	Indometacin  Capsules  50 mg
INCA5024	Indomethacin  Capsules  25 mg
INCA6932	Indomethacin  Capsules  50 mg
INM/17691NEMIS	Indometacin  M/R tablets  25 m
INM/17692NEMIS	Indometacin  M/R tablets  50 m
INM/17693NEMIS	Indometacin  M/R tablets  75 m
INM/17694NEMIS	Indometacin  M/R capsules  25 
INM/17695NEMIS	Indometacin  M/R capsules  75 
INS/9570EMIS	Indomethacin  M/R tablets  25 
INS/9571EMIS	Indomethacin  M/R tablets  50 
INS/9572EMIS	Indomethacin  M/R tablets  75 
INSL10307BRIDL	Indomethacin  M/R capsules  25
INSL9953BRIDL	Indomethacin  M/R capsules  75
INSR10537BRIDL	Indomax-75-Sr  M/R capsules  7
INSU1461	Indocid  Suspension  25 mg/5 m
INSU5027	Indomethacin  Suspension  25 m
j12..	BENORILATE [MUSCSKEL]
j121.	*BENORAL 750mg tablets
j122.	*BENORAL 2g/sachet granules
j123.	*BENORAL 2g/5mL s/f susp 150mL
j124.	*BENORAL 2g/5mL s/f susp 300mL
j12x.	*BENORILATE 750mg tablets
j12y.	*BENORILATE granules 2g/sachet
j12z.	*BENORILATE 2g/5mL s/f susp
j2...	NON-STEROIDAL ANTI-INFLAMM NOS
j21..	AZAPROPAZONE
j211.	*RHEUMOX 300mg capsules
j212.	*RHEUMOX 600mg tablets
j21y.	*AZAPROPAZONE 300mg capsules
j21z.	*AZAPROPAZONE 600mg tablets
j22..	DICLOFENAC SODIUM
j221.	VOLTAROL 25mg tablets
j222.	VOLTAROL 50mg tablets
j226.	VOLTAROL RETARD 100mg m/r tabs
j227.	RHUMALGAN 25mg e/c tablets
j228.	RHUMALGAN 50mg e/c tablets
j22A.	*FLAMRASE SR 100mg m/r tablets
j22B.	MOTIFENE 75mg e/c+m/r capsules
j22c.	DICLOFENAC 100mg m/r tablets
j22C.	DICLOFENAC SODIUM 75mg m/r cap
j22d.	DICLOFENAC 25mg e/c tablets
j22e.	DICLOFENAC 50mg e/c tablets
j22f.	*VOLRAMAN 25mg tablets
j22g.	*VOLRAMAN 50mg tablets
j22h.	VOLTAROL 50mg disp tablets
j22H.	DICLOMAX SR 75mg m/r capsules
j22i.	DICLOFENAC 50mg disp tablets
j22I.	DICLOFLEX 25mg e/c tablets
j22j.	*VALENAC 25mg e/c tablets
j22J.	DICLOFLEX 50mg e/c tablets
j22k.	*VALENAC 50mg e/c tablets
j22K.	DICLOFLEX RETARD 100mg m/r tab
j22l.	*DICLOZIP 25mg tablets
j22L.	*LOFENSAID-25 tablets
j22m.	DICLOZIP 50mg tablets
j22M.	*LOFENSAID-50 tablets
j22n.	VOLTAROL SR 75mg m/r tablets
j22N.	RHUMALGAN CR 100mg m/r tablets
j22o.	ARTHROTEC 50 tablets
j22O.	RHUMALGAN CR 75mg m/r tablets
j22p.	DICLOF+MISOPROS 50/0.2mg tabs
j22P.	VOLSAID RETARD 75mg m/r tabs
j22q.	DICLOMAX RETARD 100mg m/r caps
j22Q.	VOLSAID RETARD 100mg m/r tabs
j22r.	DICLOFENAC 100mg m/r capsules
j22R.	DICLOFENAC 75mg e/c+m/r caps
j22s.	*ISCLOFEN 50mg e/c tablets
j22S.	*LOFENSAID RETARD 75 m/r tabs
j22t.	DICLOF+MISOPROS 75/0.2mg tabs
j22T.	*LOFENSAID RETARD 100 m/r tabs
j22u.	*DICLOFENAC SODIUM 25mg tabs
j22U.	*SLOFENAC SR 100mg m/r tablets
j22v.	*DICLOFENAC SODIUM 50mg tabs
j22V.	*SLOFENAC SR 75mg m/r tablets
j22w.	*FLAMRASE 25mg tablets
j22W.	*DIGENAC XL 100 m/r tablets
j22x.	*FLAMRASE 50mg tablets
j22X.	*FLEXOTARD 100mg m/r tablets
j22y.	DICLOFENAC NA 75mg m/r tabs
j22Y.	*DICLOTARD 75 m/r tablets
j22z.	ARTHROTEC 75 tablets
j22Z.	*DICLOTARD 100 m/r tablets
j23..	DIFLUNISAL [MUSCULO-SKEL]
j231.	*DOLOBID 250mg tablets
j232.	*DOLOBID 500mg tablets
j233.	*DIFLUNISAL 250mg tablets
j234.	*DIFLUNISAL 500mg tablets
j24..	ETODOLAC
j241.	*LODINE 200mg capsules
j242.	*RAMODAR 200mg tablets
j243.	*ETODOLAC 200mg capsules
j244.	*LODINE 300mg capsules
j245.	*LODINE 200mg tablets
j246.	*ETODOLAC 200mg tablets
j247.	ETODOLAC 300mg capsules
j248.	LODINE SR 600mg m/r tablets
j249.	ETODOLAC 600mg m/r tablets
j24A.	*EBRETIN 200mg capsules
j24B.	*EBRETIN 300mg capsules
j24C.	ECCOXOLAC 300mg capsules
j24D.	ETOPAN XL 600mg m/r tablets
j25..	FENBUFEN
j251.	*LEDERFEN 300mg capsules x21
j252.	*LEDERFEN CP 300mg caps x84
j253.	*LEDERFEN 300mg tablets
j254.	*LEDERFEN CP 300mg tablets
j255.	*LEDERFEN 450mg tablets
j256.	*LEDERFEN F 450mg eff tabs 56
j257.	*FENBUFEN 300mg capsules
j258.	*FENBUFEN 300mg tablets
j259.	*FENBUZIP 300mg capsules
j25A.	*FENBUZIP 300mg tablets
j25B.	*FENBUZIP 450mg tablets
j25y.	*FENBUFEN 450mg tablets
j25z.	*FENBUFEN 450mg eff tablets
j26..	FENOPROFEN [MUSC SKEL]
j261.	FENOPRON 300mg tablets
j262.	*FENOPRON 600mg tablets
j263.	FENOPROFEN 300mg tablets
j264.	*FENOPROFEN 600mg tablets
j27..	FLURBIPROFEN
j271.	FROBEN 50mg tablets
j272.	FROBEN 100mg tablets
j274.	*FROBEN SR 200mg capsules
j275.	*FLURBIPROFEN 200mg m/r caps
j27x.	FLURBIPROFEN 50mg tablets
j27y.	FLURBIPROFEN 100mg tablets
j28..	IBUPROFEN [MUSC-SKEL]
j281.	IBUPROFEN 200mg tablets
j282.	IBUPROFEN 400mg tablets
j283.	IBUPROFEN 600mg tablets
j284.	*APSIFEN 200mg tablets
j285.	*APSIFEN 400mg tablets
j286.	*APSIFEN F 600mg eff tablets
j287.	BRUFEN 200mg tablets
j288.	BRUFEN 400mg tablets
j289.	BRUFEN 600mg tablets
j28a.	BRUFEN 100mg/5mL syrup
j28A.	BRUFEN RETARD 800mg m/r tabs
j28b.	EBUFAC 200mg tablets
j28B.	IBUPROFEN 800mg m/r tablets
j28c.	EBUFAC 400mg tablets
j28C.	CUPROFEN 200mg tablets
j28d.	*FENBID 300mg Spansules
j28D.	*ISISFEN 400mg tablets
j28e.	*IBULAR 200mg tablets
j28E.	*LIDIFEN 200mg tablets
j28f.	*IBULAR 400mg tablets
j28F.	*LIDIFEN 400mg tablets
j28g.	*IBUMETIN 200mg tablets
j28G.	LIDIFEN 600mg tablets
